epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5376,1.20639,3.04181,1.25945,0.00207,0.75506,0.30038,0.21266,1.20846,3.10635,1.19623,0.000544771,0.000544771,0.000544771
2,19.7168,1.28048,2.32966,1.24795,0.40649,0.18424,0.22846,0.13094,1.61544,2.79645,1.40229,0.00107865,0.00107865,0.00107865
3,28.3947,1.3357,2.20431,1.30471,0.3527,0.50351,0.30922,0.18209,1.54187,2.61262,1.48042,0.00159052,0.00159052,0.00159052
4,36.9833,1.32021,1.93772,1.30051,0.38198,0.4222,0.30165,0.15006,1.77807,2.18595,1.64338,0.00156798,0.00156798,0.00156798
5,45.5573,1.40538,1.75736,1.33174,0.28548,0.52449,0.38067,0.21458,1.40166,1.65277,1.25454,0.00153497,0.00153497,0.00153497
6,54.0949,1.33514,1.62844,1.28702,0.36159,0.55054,0.34735,0.1939,1.47273,2.10808,1.34705,0.00150197,0.00150197,0.00150197
7,62.7696,1.25773,1.47521,1.26965,0.37221,0.62652,0.46179,0.29009,1.31704,1.48438,1.24808,0.00146896,0.00146896,0.00146896
8,71.3784,1.25301,1.40646,1.22844,0.42886,0.74789,0.45109,0.27918,1.28778,1.22618,1.23,0.00143595,0.00143595,0.00143595
9,79.9206,1.23107,1.3025,1.2003,0.41576,0.85735,0.47385,0.30047,1.24564,1.11427,1.1811,0.00140295,0.00140295,0.00140295
10,88.6457,1.22539,1.31482,1.20529,0.45307,0.78505,0.45959,0.29697,1.23993,1.08438,1.18177,0.00136994,0.00136994,0.00136994
11,97.6037,1.22729,1.27382,1.23419,0.45025,0.7872,0.4772,0.29903,1.26181,1.15045,1.17293,0.00133693,0.00133693,0.00133693
12,106.794,1.24994,1.2421,1.21536,0.43877,0.88165,0.53238,0.30534,1.28093,1.02731,1.19554,0.00130393,0.00130393,0.00130393
13,115.633,1.16643,1.14112,1.17827,0.45362,0.76064,0.51847,0.32445,1.23359,1.01598,1.15524,0.00127092,0.00127092,0.00127092
14,123.999,1.17133,1.12431,1.17763,0.45479,0.872,0.50378,0.32928,1.21307,1.02778,1.14509,0.00123791,0.00123791,0.00123791
15,132.497,1.16228,1.1326,1.17421,0.43948,0.86748,0.47089,0.31171,1.18148,1.06424,1.13892,0.00120491,0.00120491,0.00120491
16,141.048,1.16842,1.09267,1.17491,0.42289,0.87308,0.52006,0.31636,1.16526,0.96441,1.13813,0.0011719,0.0011719,0.0011719
17,149.537,1.1734,1.08119,1.18636,0.45063,0.83664,0.48994,0.30184,1.18104,1.01388,1.12716,0.00113889,0.00113889,0.00113889
18,158.223,1.12022,1.03687,1.14243,0.44174,0.75439,0.52615,0.32776,1.15992,0.9839,1.11554,0.00110589,0.00110589,0.00110589
19,166.673,1.13684,1.07557,1.18005,0.46929,0.89831,0.51933,0.3375,1.14045,0.93963,1.11034,0.00107288,0.00107288,0.00107288
20,175.192,1.11268,1.03529,1.14554,0.45004,0.86451,0.53612,0.33062,1.18775,0.97608,1.11642,0.00103987,0.00103987,0.00103987
21,183.603,1.12522,1.03551,1.17382,0.49461,0.87105,0.52365,0.34687,1.11521,0.93466,1.10396,0.00100687,0.00100687,0.00100687
22,192.088,1.0672,0.99543,1.12788,0.49777,0.88922,0.5443,0.35259,1.12467,0.88727,1.10859,0.000973861,0.000973861,0.000973861
23,200.657,1.07864,0.97708,1.13947,0.44805,0.79987,0.50735,0.33233,1.12437,0.89338,1.09571,0.000940855,0.000940855,0.000940855
24,209.217,1.08105,0.95394,1.13505,0.45631,0.81808,0.57069,0.386,1.08397,0.88634,1.08134,0.000907848,0.000907848,0.000907848
25,217.658,1.10433,1.01078,1.15006,0.47563,0.90594,0.54899,0.34842,1.08314,0.90296,1.08713,0.000874842,0.000874842,0.000874842
